name,zone,category,latitude,longitude,duration,energy,rain_ready,why,warning,official,maps,checked_at
이집션 바자르 (Spice Bazaar),Eminönü,시장/음식문화,41.0165,28.9705,45-60분,2,yes,"색, 향과 시식으로 아이가 수동 관람에서 벗어난다. 그랜드 바자르보다 작아 9인 동선 통제가 쉽다.",입구와 주말의 혼잡. 견과 알레르기와 일부 매장의 과한 가격을 확인해야 한다.,https://visit.istanbul/spice-bazaar,https://www.google.com/maps/search/?api=1&query=Spice+Bazaar+Istanbul,2026-09-01
쿠즈군주크 (Kuzguncuk),Asian Side/Üsküdar,동네/산책,41.037,29.029,60-90분,2,no,"목조주택, 고양이와 작은 가게로 생활 동네를 경험한다. 해안에서 골목 초입까지만 보면 짧은 산책으로 끝낼 수 있다.",안쪽 골목은 계속 오르막이다. 주말 카페와 사진 명소가 붐빈다.,https://visit.istanbul/kuzguncuk,https://www.google.com/maps/search/?api=1&query=Kuzguncuk+Istanbul,2026-09-01
베일레르베이 궁전 (Beylerbeyi Palace),Asian Side/Üsküdar,궁전/보스포루스,41.0427,29.04,60-90분,2,yes,돌마바흐체보다 작아 아이와 짧게 끝내기 쉽다. 쿠즈군주크와 가까워 아시아 권역 하루에 묶을 수 있다.,월요일 휴관. 위스퀴다르에서 추가 차량 이동과 내부 사진 제한이 있다.,https://millisaraylar.gov.tr/Lokasyon/4/Beylerbeyi-Palace,https://www.google.com/maps/search/?api=1&query=Beylerbeyi+Palace+Istanbul,2026-09-01
오르타쾨이 해안 (Ortaköy Waterfront and Mosque),Bosphorus/Ortaköy,보스포루스/산책,41.0472,29.027,30-45분,2,no,모스크와 다리가 겹치는 가족사진 장면이 강하다. 간식과 해안 구경을 짧게 묶을 수 있다.,주말 혼잡과 관광지 가격. 3월 해안 바람이 세면 체감온도가 낮다.,https://visit.istanbul/ortakoy,https://www.google.com/maps/search/?api=1&query=Ortakoy+Waterfront+Istanbul,2026-09-01
갈라타포트 산책로 (Galataport Istanbul Promenade),Karaköy,해안/편의/산책,41.0251,28.9832,45-90분,1,yes,"평탄한 해안과 화장실, 식당이 있어 9인 가족 운영이 쉽다. 이스탄불 모던과 바로 연결된다.",크루즈 입항일에는 혼잡하다. 역사적 밀도보다 고급 쇼핑몰 성격이 강하다.,https://galataport.com/en/,https://www.google.com/maps/search/?api=1&query=Galataport+Istanbul,2026-09-01
미니아튀르크 (Miniatürk),Golden Horn/Sütlüce,미니어처/어린이/공원,41.06,28.94861,2-3시간,2,no,"터키 명소를 1대25 모형으로 먼저 익혀 이후 일정의 맥락이 생긴다. 놀이터, 미니기차와 체험 요소가 6-9세에게 맞는다.",야외 비중이 커 비와 강풍에 약하다. 도심 핵심권에서 차량 이동이 추가된다.,https://www.miniaturk.com.tr/Eng/Index,https://www.google.com/maps/search/?api=1&query=Miniaturk+Istanbul,2026-09-01
이스탄불 장난감 박물관 (Istanbul Toy Museum),Asian Side/Göztepe,어린이/박물관,40.97593,29.07073,1.5-2시간,3,yes,여러 세대의 장난감을 보며 부모와 아이의 대화가 자연스럽다. 완전 실내라 강한 우천 대안이다.,유럽 쪽 숙소에서 이동이 길다. 전시는 감상형이 많아 직접 놀이를 기대하면 아쉬울 수 있다.,https://istanbuloyuncakmuzesi.com/,https://www.google.com/maps/search/?api=1&query=Istanbul+Toy+Museum,2026-09-01
이스탄불 고고학 박물관 (Istanbul Archaeological Museums),Sultanahmet/Gülhane,고고학/박물관,41.01169,28.98124,1.5-2시간,2,yes,알렉산더 석관과 대형 유물처럼 아이도 규모로 이해할 작품이 있다. 톱카프와 귈하네 사이여서 차량 이동 없이 붙일 수 있다.,공식 페이지에 일부 층과 전시실 폐쇄가 공지되어 있다. 유물이 많아 핵심 5점만 정하지 않으면 피로가 크다.,https://muze.gov.tr/muze-detay?distId=IAR&sectionId=IAR01,https://www.google.com/maps/search/?api=1&query=Istanbul+Archaeological+Museums,2026-09-01
아야 이리니 (Hagia Irene Monument Museum),Topkapı First Courtyard,비잔틴/역사,41.00972,28.98111,30-45분,1,yes,화려한 모스크와 다른 비잔틴 교회의 빈 공간과 음향을 경험한다. 톱카프 첫 안뜰 안이라 별도 이동이 없다.,입장 방식과 특별 행사에 따른 접근 제한을 직전 확인해야 한다. 아이에게는 전시물보다 건축 공간 중심이라 설명이 필요하다.,https://muze.gov.tr/muze-detay?SectionId=IRN01&DistId=MRK,https://www.google.com/maps/search/?api=1&query=Hagia+Irene+Istanbul,2026-09-01
터키 이슬람 예술 박물관 (Museum of Turkish and Islamic Arts),Sultanahmet,미술/역사/박물관,41.00629,28.97434,60-90분,1,yes,"카펫, 서예와 생활 도구로 궁전과 모스크 밖의 문화를 본다. 히포드롬 바로 옆 실내라 비 오는 날 일정 교체가 쉽다.",섬세한 공예 중심이라 어린 아이는 작품 찾기 미션이 필요하다. 계단과 전시 밀도가 있다.,https://www.muze.gov.tr/muze-detay?DistId=TIE&SectionId=TIE01,https://www.google.com/maps/search/?api=1&query=Museum+of+Turkish+and+Islamic+Arts+Istanbul,2026-09-01
아야 소피아 역사 체험 박물관 (Hagia Sophia History and Experience Museum),Sultanahmet,몰입형/역사/실내,41.00678,28.97262,60-90분,1,yes,영상과 음향으로 1700년 역사를 설명해 아이가 긴 해설 없이 맥락을 잡는다. 13개 실내 전시실이라 악천후 대안이 강하다.,강한 음향과 어두운 공간에 민감한 아이는 사전 설명이 필요하다. 공식 관측 입장료가 높아 본 건물과 중복 체감이 생길 수 있다.,https://muze.gov.tr/muze-detay?distId=MRK&sectionId=YSM01,https://www.google.com/maps/search/?api=1&query=Hagia+Sophia+History+and+Experience+Museum,2026-09-01
이슬람 과학기술사 박물관 (Museum of the History of Science and Technology in Islam),Gülhane Park,과학/역사/박물관,41.01301,28.9803,75-120분,1,yes,"천문, 시계, 선박과 알자자리 기계 모형이 아이의 과학 호기심에 맞는다. 귈하네 안 실내라 공원 일정이 비를 만나도 전환할 수 있다.",복제품과 설명 패널 중심이라 보호자 설명이 필요하다. 전시가 12개 섹션이라 범위를 정하지 않으면 길다.,https://muze.gov.tr/muze-detay?distId=MRK&sectionId=IBT01,https://www.google.com/maps/search/?api=1&query=Museum+History+Science+Technology+Islam+Istanbul,2026-09-01
셰레피예 사라이 (Şerefiye Cistern / Theodosius Cistern),Sultanahmet,역사/미디어/지하,41.00855,28.9728,30-45분,1,yes,예레바탄보다 작아 짧게 끝나고 조명 연출이 아이에게 선명하다. 완전 실내이며 술탄아흐메트 동선 안이다.,영상 상영 시간에 따라 입장 흐름이 달라진다. 예레바탄을 본 날에는 지하 저수조 경험이 중복될 수 있다.,https://serefiyesarnici.istanbul/,https://www.google.com/maps/search/?api=1&query=Serefiye+Cistern+Istanbul,2026-09-01
콘스탄티노플 히포드롬 (Hippodrome of Constantinople / Sultanahmet Square),Sultanahmet,야외 역사/광장,41.00646,28.97534,30-45분,1,no,오벨리스크와 뱀기둥 찾기로 짧은 야외 보물찾기가 된다. 블루 모스크와 박물관 사이를 잇는 평탄한 광장이다.,표지 설명이 적어 가이드나 짧은 오디오가 필요하다. 비와 바람을 피할 곳이 적다.,https://www.ktb.gov.tr/EN-113809/the-hippodrome.html,https://www.google.com/maps/search/?api=1&query=Hippodrome+of+Constantinople,2026-09-01
쉴레이마니예 모스크 (Süleymaniye Mosque),Süleymaniye/Old City,역사/종교/전망,41.01613,28.96395,45-60분,3,yes,블루 모스크보다 한적한 공간과 골든혼 전망을 함께 얻는다. 무료이며 넓은 안뜰에서 9명이 쉬기 좋다.,언덕 위라 도보 접근 피로가 크다. 기도 시간과 복장 규칙을 지켜야 한다.,https://www.ktb.gov.tr/EN-113801/suleymaniye-mosque.html,https://www.google.com/maps/search/?api=1&query=Suleymaniye+Mosque+Istanbul,2026-09-01
카리예 모스크 (Kariye Mosque / Chora),Edirnekapı/Fatih,비잔틴/종교/예술,41.03113,28.93918,45-60분,2,yes,모자이크와 프레스코가 눈높이에 가까워 아이가 장면을 찾기 쉽다. 아야 소피아보다 작아 짧게 끝낼 수 있다.,모스크 전환 후 관광 동선과 공개 구역이 변할 수 있다. 구시가지 중심에서 차량 이동이 필요하다.,https://kariye.gov.tr/,https://www.google.com/maps/search/?api=1&query=Chora+Mosque+Istanbul,2026-09-01
파노라마 1453 역사 박물관 (Panorama 1453 History Museum),Topkapı/Zeytinburnu,몰입형/역사/어린이,41.01847,28.91612,60-90분,2,yes,대형 파노라마와 음향이 1453년 사건을 아이에게 직관적으로 만든다. 실내 중심이라 비 오는 날 대체력이 있다.,전쟁 음향과 그림이 어린 아이에게 강할 수 있다. 도심 서쪽으로 차량 이동이 추가된다.,https://panorama1453.com/,https://www.google.com/maps/search/?api=1&query=Panorama+1453+History+Museum,2026-09-01
아트이스탄불 페샤네 (Artİstanbul Feshane),Golden Horn/Eyüpsultan,현대미술/실내/공공문화,41.04386,28.93554,60-90분,1,yes,넓은 옛 공장 건물에서 현대미술과 골든혼 산책을 묶는다. 무료 또는 저비용 전시가 많아 관심이 없으면 바로 나와도 부담이 적다.,전시 내용이 교체되어 아이 적합성을 미리 봐야 한다. 작품 설명이 터키어 중심일 수 있다.,https://artistanbulfeshane.com/,https://www.google.com/maps/search/?api=1&query=ArtIstanbul+Feshane,2026-09-01
피에르 로티 언덕 (Pierre Loti Hill),Golden Horn/Eyüp,전망/케이블카,41.05317,28.93357,60-90분,2,no,짧은 케이블카가 아이에게 이동 자체가 체험이 된다. 골든혼 전망과 차 한 잔을 한 번에 해결한다.,케이블카 줄과 카페 혼잡이 생긴다. 비나 안개가 심하면 전망 가치가 크게 떨어진다.,https://visit.istanbul/pierre-loti-hill,https://www.google.com/maps/search/?api=1&query=Pierre+Loti+Hill+Istanbul,2026-09-01
에윕 술탄 모스크 (Eyüp Sultan Mosque),Golden Horn/Eyüp,종교/역사,41.04772,28.93386,30-45분,2,yes,관광 모스크와 다른 현지 순례지 분위기를 본다. 피에르 로티와 같은 권역이라 차량 이동을 한 번으로 줄인다.,"금요일과 종교 행사 때 매우 혼잡하다. 묘지 길과 복장, 예배 예절을 아이에게 설명해야 한다.",https://visit.istanbul/eyup-sultan-mosque,https://www.google.com/maps/search/?api=1&query=Eyup+Sultan+Mosque+Istanbul,2026-09-01
산트랄이스탄불 에너지 박물관 (santralistanbul Energy Museum),Golden Horn/Bilgi University,과학/산업유산/어린이,41.06669,28.94636,1.5-2시간,3,yes,실제 발전소 기계와 에너지 원리를 큰 스케일로 본다. 라흐미 코치와 다른 산업과학 경험이라 과학 취향 아이에게 강하다.,대학 캠퍼스 안이라 입구와 운영일 확인이 필요하다. 도심 핵심권에서 이동이 길고 전시 설명이 어려울 수 있다.,https://www.santralistanbul.org/en/,https://www.google.com/maps/search/?api=1&query=santralistanbul+Energy+Museum,2026-09-01
페라 박물관 (Pera Museum),Beyoğlu/Tepebaşı,미술/박물관,41.03184,28.97501,60-90분,1,yes,오리엔탈리즘 회화와 도량형 전시로 그림과 생활사를 짧게 묶는다. 이스티클랄 인근의 완전 실내 대안이다.,기획전 적합성을 방문 전 확인해야 한다. 아이 체험보다 감상 중심이다.,https://www.peramuseum.org/,https://www.google.com/maps/search/?api=1&query=Pera+Museum+Istanbul,2026-09-01
순수 박물관 (The Museum of Innocence),Çukurcuma/Beyoğlu,문학/생활사/박물관,41.03072,28.98022,45-75분,2,yes,작은 물건과 상자 전시로 가족이 각자 이상한 물건 하나를 찾는 놀이가 된다. 비 오는 날 갈라타포트와 베요을루 사이에 짧게 넣을 수 있다.,소설을 읽지 않으면 맥락이 약하다. 좁은 집과 계단 때문에 9명이 한꺼번에 보기 어렵다.,https://en.masumiyetmuzesi.org/,https://www.google.com/maps/search/?api=1&query=Museum+of+Innocence+Istanbul,2026-09-01
솔트 갈라타 (SALT Galata),Galata/Karaköy,건축/전시/도서관,41.02442,28.97376,45-75분,1,yes,옛 오스만은행 건물과 금고를 무료로 짧게 볼 수 있다. 갈라타 언덕을 오르기 전 실내 휴식과 화장실을 확보한다.,도서관과 연구 공간에서는 아이가 조용히 해야 한다. 전시가 추상적이면 어린이 흥미가 낮다.,https://saltonline.org/en/42/salt-galata,https://www.google.com/maps/search/?api=1&query=SALT+Galata,2026-09-01
이스탄불 영화 박물관 (Istanbul Cinema Museum),İstiklal/Beyoğlu,영화/디지털/박물관,41.03391,28.97723,60-90분,1,yes,디지털 장치와 영화 소품이 6-9세에게 미술관보다 직접적이다. 이스티클랄 거리의 강한 우천 대안이다.,터키 영화 지식이 없으면 일부 전시는 낯설다. 스크린이 많아 멀미나 감각 피로가 생길 수 있다.,https://istanbulsinemamuzesi.com/en/,https://www.google.com/maps/search/?api=1&query=Istanbul+Cinema+Museum,2026-09-01
이스탄불 해군 박물관 (Istanbul Naval Museum),Beşiktaş,선박/역사/어린이,41.04198,29.00546,1.5-2시간,1,yes,황실 카이크와 실제 크기 배가 아이의 크기 감각을 자극한다. 돌마바흐체와 가까운 실내 대안이다.,보안 검색과 운영일 확인이 필요하다. 군사사 설명이 길어지면 아이가 지친다.,https://denizmuzesi.dzkk.tsk.tr/,https://www.google.com/maps/search/?api=1&query=Istanbul+Naval+Museum,2026-09-01
국립궁전 회화 박물관 (National Palaces Painting Museum),Dolmabahçe/Beşiktaş,회화/궁전/박물관,41.04059,29.00166,60-90분,1,yes,"바다, 전쟁과 궁전 그림에서 아이마다 한 장을 고르게 할 수 있다. 돌마바흐체 권역에서 비가 오면 궁전 전체 대신 짧게 쓸 수 있다.",회화 중심이라 어린 아이는 60분 상한이 필요하다. 월요일 휴관 여부를 방문 주간에 확인한다.,https://www.millisaraylar.gov.tr/Lokasyon/11/Resim-Muzesi,https://www.google.com/maps/search/?api=1&query=National+Palaces+Painting+Museum+Istanbul,2026-09-01
을드즈 궁전 (Yıldız Palace),Beşiktaş/Yıldız,궁전/역사,41.04962,29.0116,1.5-2시간,3,yes,"최근 공개된 마지막 오스만 행정 궁전으로 다른 궁전과 이야기가 다르다. 정원, 목공과 여러 작은 건물을 찾아보는 식으로 관람할 수 있다.",공식 정보상 수요일 휴관. 50만 제곱미터 권역이라 전체를 보려 하면 피로가 크다.,https://www.millisaraylar.gov.tr/Lokasyon/5/Yildiz-Sarayi,https://www.google.com/maps/search/?api=1&query=Yildiz+Palace+Istanbul,2026-09-01
을드즈 공원 (Yıldız Park),Beşiktaş/Yıldız,공원/휴식,41.04761,29.01218,45-90분,2,no,보스포루스 권역에서 아이가 뛰고 어른이 쉬는 넓은 녹지다. 돌마바흐체나 을드즈 궁전 뒤 회복 구간으로 쓴다.,공원 안 경사가 크다. 비 온 뒤 길이 미끄럽고 택시 승하차 지점을 잘 잡아야 한다.,https://visit.istanbul/yildiz-park,https://www.google.com/maps/search/?api=1&query=Yildiz+Park+Istanbul,2026-09-01
을라무르 별궁 (Ihlamur Pavilion),Beşiktaş/Nişantaşı,별궁/정원,41.05274,28.99922,45-75분,1,yes,작은 별궁과 정원이라 대형 궁전에 지친 날 적합하다. 정원 카페에서 9명이 쉬는 시간을 확보할 수 있다.,월요일 휴관을 기본으로 방문 주간 재확인. 규모가 작아 멀리서 단독 방문할 가치는 낮다.,https://www.millisaraylar.gov.tr/Lokasyon/7/Ihlamur-Kasri,https://www.google.com/maps/search/?api=1&query=Ihlamur+Pavilion+Istanbul,2026-09-01
에미르간 공원 (Emirgan Park),Upper Bosphorus/Emirgan,공원/놀이터/전망,41.10875,29.05313,60-120분,3,no,"놀이터, 연못과 넓은 잔디가 있어 아이가 충분히 움직인다. 사반즈 박물관과 같은 권역에서 부모 미술과 아이 공원을 교환할 수 있다.",3월 20-31일은 보통 튤립 축제 절정 전이다. 공원 내부 경사와 넓은 면적 때문에 출구를 정해야 한다.,https://visit.istanbul/emirgan-park,https://www.google.com/maps/search/?api=1&query=Emirgan+Park+Istanbul,2026-09-01
사크프 사반즈 박물관 (Sakıp Sabancı Museum),Upper Bosphorus/Emirgan,미술/정원/보스포루스,41.10645,29.05524,1.5-2시간,3,yes,"보스포루스 저택, 정원과 기획전을 한 장소에서 본다. 에미르간 공원과 붙여 부모와 아이 욕구를 분담한다.",유럽 핵심 숙소에서 이동이 길다. 기획전 내용과 월요일 운영 여부를 확인해야 한다.,https://www.sakipsabancimuzesi.org/en,https://www.google.com/maps/search/?api=1&query=Sakip+Sabanci+Museum+Istanbul,2026-09-01
루멜리 히사르 (Rumeli Fortress Museum),Upper Bosphorus/Rumelihisarı,요새/전망/역사,41.08478,29.05662,75-120분,3,no,"성벽, 대포와 전망대가 아이에게 실제 성 탐험이 된다. 보스포루스 해협을 통제한 지형을 몸으로 이해한다.",월요일 휴관. 가파른 돌계단과 난간 때문에 6세는 손을 잡고 일부 구역을 생략해야 한다.,https://muze.gov.tr/muze-detay?distId=MRK&sectionId=HIS01,https://www.google.com/maps/search/?api=1&query=Rumeli+Fortress+Istanbul,2026-09-01
보루산 컨템퍼러리 (Borusan Contemporary),Upper Bosphorus/Rumelihisarı,현대미술/저택/보스포루스,41.08402,29.05617,60-90분,3,yes,주말에 사무실 저택이 미술관으로 바뀌는 독특한 공간을 본다. 루멜리 히사르와 같은 해안 구간이라 부모 미술 선택지로 붙일 수 있다.,일반적으로 주말 중심 운영이므로 날짜가 맞지 않으면 방문할 수 없다. 미디어아트가 어둡거나 강한 빛을 쓸 수 있다.,https://www.borusancontemporary.com/,https://www.google.com/maps/search/?api=1&query=Borusan+Contemporary+Istanbul,2026-09-01
퀴취크수 별궁 (Küçüksu Pavilion),Asian Bosphorus/Küçüksu,별궁/정원/보스포루스,41.07973,29.06537,45-75분,3,yes,작은 별궁과 물가 정원이라 짧고 회복 가능한 관람이다. 아나돌루 히사르와 도보권으로 아시아 보스포루스 한 묶음이 된다.,월요일 휴관을 확인한다. 단독 목적지로는 작고 유럽 쪽에서 접근 시간이 길다.,https://www.millisaraylar.gov.tr/Lokasyon/6/Kucuksu-Kasri,https://www.google.com/maps/search/?api=1&query=Kucuksu+Pavilion+Istanbul,2026-09-01
아나돌루 히사르 박물관 (Anadolu Hisarı Museum),Asian Bosphorus/Anadolu Hisarı,요새/역사/산책,41.08236,29.06619,45-60분,3,no,루멜리보다 작고 짧게 오스만 요새 구조를 본다. 퀴취크수와 가까워 차량 이동을 늘리지 않는다.,복원 후 관람 범위와 예약 방식을 직전 확인해야 한다. 계단과 좁은 통로가 있어 6세 안전 관리가 필요하다.,https://kultur.istanbul/,https://www.google.com/maps/search/?api=1&query=Anadolu+Hisari+Museum+Istanbul,2026-09-01
참르자 타워 (Çamlıca Tower),Asian Side/Üsküdar,전망/타워,41.0277,29.06817,75-120분,3,yes,"엘리베이터로 높은 전망을 얻어 언덕 걷기를 줄인다. 유럽과 아시아, 보스포루스 전체를 아이에게 지도처럼 보여준다.",도심 숙소에서 이동이 길다. 안개와 비가 심하면 높은 입장료 대비 전망이 거의 없다.,https://camlicakule.istanbul/,https://www.google.com/maps/search/?api=1&query=Camlica+Tower+Istanbul,2026-09-01
참르자 언덕 (Çamlıca Hill),Asian Side/Üsküdar,공원/전망,41.02711,29.06973,45-75분,3,no,무료 전망과 정원에서 아이가 뛰고 어른은 도시를 본다. 타워 입장 없이도 아시아 쪽 높은 시야를 얻는다.,"차량 정체와 주말 혼잡이 심하다. 바람, 안개와 비에 매우 약하다.",https://visit.istanbul/camlica-hill,https://www.google.com/maps/search/?api=1&query=Camlica+Hill+Istanbul,2026-09-01
크즈 쿨레시 (Maiden's Tower),Asian Side/Salacak,보스포루스/전망/역사,41.02111,29.00411,60-90분,3,no,짧은 보트와 작은 섬 타워가 아이에게 분명한 모험이 된다. 보스포루스 한가운데서 유럽과 아시아를 동시에 본다.,공식 관측 외국인 요금이 높다. 날씨에 따라 배편이 변경되며 좁은 공간에서 9명이 움직이기 어렵다.,https://muze.gov.tr/muze-detay?distId=MRK&sectionId=KZK02,https://www.google.com/maps/search/?api=1&query=Maiden%27s+Tower+Istanbul,2026-09-01
셰히르 하틀라르 보스포루스 투어 (Şehir Hatları Bosphorus Tour),Eminönü/Üsküdar/Ortaköy/Bosphorus,보트/전망/체험,41.01786,28.97078,"짧은 투어 약 2시간, 긴 투어 반일",1,yes,"차량 정체 없이 궁전, 다리, 요새와 양 대륙을 연속해서 본다. 6-9세는 배 자체를 체험으로 느끼며 성인은 도시 지형을 이해한다.","계절별 시간표와 출항 여부를 직전 확인해야 한다. 3월 바람, 멀미와 야외 좌석 추위를 대비한다.",https://sehirhatlari.istanbul/en/timetables/bosphorus-tours,https://www.google.com/maps/search/?api=1&query=Sehir+Hatlari+Bosphorus+Tour+Eminonu,2026-09-01
카드쾨이 시장 (Kadıköy Market),카드쾨이,시장,40.990101,29.023355,60-90분,1,yes,"생선, 치즈, 올리브, 로쿰을 한 동선에서 맛보며 아이와 식재료 구경을 하기 좋다.",점심 이후 통로가 붐비고 유모차 회전이 답답하다.,https://kadikoy.bel.tr/,https://www.google.com/maps/search/?api=1&query=Kadikoy+Market+Istanbul,2026-09-01
카드쾨이 화요시장 (Kadıköy Tuesday Market),하산파샤,시장,40.9991,29.0519,60-100분,2,yes,"과일, 채소, 직물과 생활용품을 함께 보는 대형 생활시장이라 아이에게 현지 일상을 보여주기 좋다.",화요일과 금요일 중심 운영이라 방문일을 반드시 재확인해야 한다.,https://kadikoy.bel.tr/,https://www.google.com/maps/search/?api=1&query=Kadikoy+Tuesday+Market+Istanbul,2026-09-01
베식타시 수산시장 (Beşiktaş Fish Market),베식타시,시장,41.0432,29.0052,35-60분,1,yes,작고 현대적인 시장 건축 안에서 생선과 주변 먹거리를 짧게 볼 수 있다.,바닥이 젖어 미끄러울 수 있고 생선 냄새에 민감한 아이는 싫어할 수 있다.,https://besiktas.bel.tr/,https://www.google.com/maps/search/?api=1&query=Besiktas+Fish+Market+Istanbul,2026-09-01
페리쾨이 유기농 시장 (Şişli 100% Ecological Market),페리쾨이,시장,41.0552,28.9828,60-90분,1,yes,"생산자에게 과일, 치즈, 빵을 직접 사며 아이와 먹거리 이야기를 나누기 좋다.",토요일 운영이며 일반 시장보다 가격이 높다는 반응이 있다.,https://www.bugday.org/blog/turkiyede-kurulan-organik-pazarlar/,https://www.google.com/maps/search/?api=1&query=Ferikoy+Organic+Market+Istanbul,2026-09-01
페리쾨이 골동품 시장 (Feriköy Antique Market),페리쾨이,시장,41.0552,28.9828,60-90분,1,yes,"동전, 장난감, 카메라, 음반을 보물찾기처럼 살펴볼 수 있다.",일요일 한정이며 깨지기 쉬운 물건이 많아 어린아이 손을 잡아야 한다.,https://www.sisli.bel.tr/kurumsal/i/pazar-yerleri,https://www.google.com/maps/search/?api=1&query=Ferikoy+Antique+Market+Istanbul,2026-09-01
